,animal_id,animal_type,animal_breed,kennel_status,intake_type,intake_subtype,intake_date,intake_condition,outcome_type,outcome_date,outcome_condition,month,year
77839,A1027215,DOG,GERM SHEPHERD,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-25T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
58906,A0929396,DOG,AMERICAN STAFF,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-04T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,2018-05-21T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,APR.2018,FY2018
58892,A0927938,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,DEAD ON ARRIVAL,2018-04-15T00:00:00.000,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,DEAD ON ARRIVAL,2018-04-15T00:00:00.000,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,APR.2018,FY2018
77853,A1027224,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77856,A1027227,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77848,A1027221,DOG,CAIRN TERRIER,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77858,A1027230,DOG,PIT BULL,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,UNHEALTHY UNTREATABLE CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,UNHEALTHY UNTREATABLE CONTAGIOUS,APR.2018,FY2018
58763,A0908292,DOG,PIT BULL,LAB,OWNER SURRENDER,GENERAL,2018-04-22T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,2018-04-22T00:00:00.000,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,APR.2018,FY2018
77864,A1027236,DOG,PIT BULL,LAB,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,2018-04-18T00:00:00.000,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,APR.2018,FY2018
77867,A1027239,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,2018-04-18T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,APR.2018,FY2018
77872,A1027247,DOG,CHIHUAHUA SH,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77873,A1027248,DOG,PIT BULL,LAB,OWNER SURRENDER,GENERAL,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77748,A1027114,DOG,PIT BULL,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77761,A1027132,DOG,BOXER,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
59009,A0937551,DOG,LABRADOR RETR,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-05-17T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77743,A1027110,DOG,PIT BULL,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77741,A1027108,DOG,GREAT DANE,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77716,A1027088,DOG,PIT BULL,LAB,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,2018-05-01T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77720,A1027093,DOG,PIT BULL,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77726,A1027096,DOG,PIT BULL,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77734,A1027103,DOG,PIT BULL,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77765,A1027137,DOG,CHOW CHOW,LAB,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,2018-04-17T00:00:00.000,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,APR.2018,FY2018
77787,A1027163,DOG,GERM SHEPHERD,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77789,A1027164,DOG,GERM SHEPHERD,UNAVAILABLE,OWNER SURRENDER,RETURN30,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-05T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77790,A1027165,DOG,GERM SHEPHERD,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77786,A1027162,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77785,A1027161,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77784,A1027160,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77783,A1027159,DOG,BEAGLE,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77769,A1027143,DOG,CHIHUAHUA SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-16T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-19T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
