,month_year,cases,cat_adoption,cat_surrender,dog_adoption,dog_surrender,blank
26,2017-10,,199,192,685,537,
27,2017-11,,204,127,686,432,
28,2017-12,,181,106,496,387,
29,2018-01,,162,128,659,563,
30,2018-02,,89,56,487,441,
31,2018-03,,161,155,784,595,
32,2018-04,,81,122,393,381,
33,2018-05,,181,238,686,623,
34,2018-06,,222,237,608,613,
35,2018-07,,188,168,643,526,
36,2018-08,,170,139,655,502,
37,2018-09,,262,187,743,665,
38,2018-10,,254,219,695,548,
39,2018-11,,205,180,654,483,
40,2018-12,,119,101,587,380,
41,2019-01,,136,122,625,440,
42,2019-02,,115,52,488,391,
43,2019-03,,139,101,698,493,
44,2019-04,,90,84,450,335,
45,2019-05,,271,168,876,651,
46,2019-06,,343,185,806,578,
47,2019-07,,231,156,703,479,
48,2019-08,,208,140,496,356,
49,2019-09,,384,195,753,546,
50,2019-10,,280,193,774,522,
51,2019-11,,200,104,709,448,
52,2019-12,,175,75,509,255,
0,2020-01,0.0,163,98,661,414,
1,2020-02,0.0,150,89,508,350,
2,2020-03,123.0,108,81,447,287,
3,2020-04,836.0,14,6,88,60,
4,2020-05,1157.0,80,53,276,123,
5,2020-06,3300.0,66,57,235,155,
6,2020-07,8934.0,45,55,252,113,
7,2020-08,6307.0,64,49,187,98,
8,2020-09,4729.0,105,85,368,201,
9,2020-10,5316.0,82,77,333,152,
10,2020-11,11620.0,62,60,290,139,
11,2020-12,18373.5,45,39,199,96,
12,2021-01,19484.5,81,74,257,129,
13,2021-02,10001.0,44,85,207,109,
14,2021-03,4487.0,47,69,380,217,
15,2021-04,3357.0,22,51,268,162,
16,2021-05,1955.0,152,102,553,239,
17,2021-06,1487.0,165,114,479,235,
18,2021-07,4276.0,139,120,475,169,
19,2021-08,14982.0,139,92,351,120,
20,2021-09,15226.0,196,105,523,253,
21,2021-10,5657.0,152,113,511,214,
22,2021-11,3128.0,107,120,428,207,
23,2021-12,8384.0,57,45,312,144,
24,2022-01,52741.0,63,43,378,199,
25,2022-02,14264.0,52,39,332,151,
53,2022-03,,60,45,464,214,
54,2022-04,,78,66,374,143,
55,2022-05,,136,79,561,309,
56,2022-06,,104,59,465,218,
57,2022-07,,117,75,551,227,
58,2022-08,,126,112,445,228,
59,2022-09,,15,8,40,39,
