month,outcome_type
2017-10,685
2017-11,686
2017-12,496
2018-01,659
2018-02,487
2018-03,784
2018-04,393
2018-05,686
2018-06,608
2018-07,643
2018-08,655
2018-09,743
2018-10,695
2018-11,654
2018-12,587
2019-01,625
2019-02,488
2019-03,698
2019-04,450
2019-05,876
2019-06,806
2019-07,703
2019-08,496
2019-09,753
2019-10,774
2019-11,709
2019-12,509
2020-01,661
2020-02,508
2020-03,447
2020-04,88
2020-05,276
2020-06,235
2020-07,252
2020-08,187
2020-09,368
2020-10,333
2020-11,290
2020-12,199
2021-01,257
2021-02,207
2021-03,380
2021-04,268
2021-05,553
2021-06,479
2021-07,475
2021-08,351
2021-09,523
2021-10,511
2021-11,428
2021-12,312
2022-01,378
2022-02,332
2022-03,464
2022-04,374
2022-05,561
2022-06,465
2022-07,551
2022-08,445
2022-09,40
