month,outcome_type
2017-10,537
2017-11,432
2017-12,387
2018-01,563
2018-02,441
2018-03,595
2018-04,381
2018-05,623
2018-06,613
2018-07,526
2018-08,502
2018-09,665
2018-10,548
2018-11,483
2018-12,380
2019-01,440
2019-02,391
2019-03,493
2019-04,335
2019-05,651
2019-06,578
2019-07,479
2019-08,356
2019-09,546
2019-10,522
2019-11,448
2019-12,255
2020-01,414
2020-02,350
2020-03,287
2020-04,60
2020-05,123
2020-06,155
2020-07,113
2020-08,98
2020-09,201
2020-10,152
2020-11,139
2020-12,96
2021-01,129
2021-02,109
2021-03,217
2021-04,162
2021-05,239
2021-06,235
2021-07,169
2021-08,120
2021-09,253
2021-10,214
2021-11,207
2021-12,144
2022-01,199
2022-02,151
2022-03,214
2022-04,143
2022-05,309
2022-06,218
2022-07,227
2022-08,228
2022-09,39
