date,State,Status of Reopening,Stay at Home Order,Buisness Closures
2020-06-04,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-04,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-04,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-04,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-05,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-05,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-05,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-05,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-08,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-08,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-08,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-08,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-12,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-12,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-12,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-12,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-15,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-15,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-15,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-15,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-17,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-17,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-17,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-17,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-22,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-22,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-22,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-22,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-24,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-24,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-24,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-24,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
